2025-09-04 02:45:40 | [INFO] device=cuda:0 ddp=True world_size=2 arch=resnet18 modality=raw
2025-09-04 02:45:40 | [INFO] GPU=NVIDIA GeForce GTX 1080 Ti CC=(6, 1)
2025-09-04 02:45:40 | [INFO] Mixed precision DISABLED (accuracy-first).
2025-09-04 05:13:27 | [03/12] step 00300/01853 loss=0.73696 | 81.8 img/s
2025-09-04 05:16:43 | [03/12] step 00400/01853 loss=0.61505 | 81.8 img/s
2025-09-04 05:19:58 | [03/12] step 00500/01853 loss=0.62198 | 81.8 img/s
2025-09-04 05:23:14 | [03/12] step 00600/01853 loss=0.55211 | 81.8 img/s
2025-09-04 05:26:29 | [03/12] step 00700/01853 loss=0.50009 | 81.8 img/s
2025-09-04 05:29:45 | [03/12] step 00800/01853 loss=0.50805 | 81.8 img/s
2025-09-04 05:33:00 | [03/12] step 00900/01853 loss=0.50203 | 81.8 img/s
2025-09-04 05:36:15 | [03/12] step 01000/01853 loss=0.49737 | 81.8 img/s
2025-09-04 05:39:31 | [03/12] step 01100/01853 loss=0.50669 | 81.8 img/s
2025-09-04 05:42:46 | [03/12] step 01200/01853 loss=0.51808 | 81.8 img/s
2025-09-04 05:46:02 | [03/12] step 01300/01853 loss=0.52922 | 81.8 img/s
2025-09-04 05:49:17 | [03/12] step 01400/01853 loss=0.52186 | 81.8 img/s
2025-09-04 05:52:33 | [03/12] step 01500/01853 loss=0.51527 | 81.8 img/s
2025-09-04 05:55:48 | [03/12] step 01600/01853 loss=0.51613 | 81.8 img/s
2025-09-04 05:59:04 | [03/12] step 01700/01853 loss=0.51116 | 81.9 img/s
2025-09-04 06:02:19 | [03/12] step 01800/01853 loss=0.51980 | 81.9 img/s
2025-09-04 06:04:02 | [03/12] step 01853/01853 loss=0.50500 | 81.9 img/s
2025-09-04 06:04:47 | [VAL 03] loss=13.78116 acc=2.74% prec1=0.0274 recall1=1.0000 f1=0.0534 TP=1635 FP=58008 TN=0 FN=0
2025-09-04 06:04:47 | [CKPT] Saved best → /home/ana/Downloads/Ana/satelite/models/resnet/raw/best.pt (recall1=1.0000, loss=13.78116)
2025-09-04 06:08:03 | [04/12] step 00100/01853 loss=1.08927 | 81.6 img/s
2025-09-04 06:11:19 | [04/12] step 00200/01853 loss=0.76635 | 81.7 img/s
2025-09-04 06:14:34 | [04/12] step 00300/01853 loss=0.55686 | 81.8 img/s
2025-09-04 06:17:50 | [04/12] step 00400/01853 loss=0.47780 | 81.8 img/s
2025-09-04 06:21:05 | [04/12] step 00500/01853 loss=0.51388 | 81.8 img/s
2025-09-04 06:24:21 | [04/12] step 00600/01853 loss=0.45698 | 81.8 img/s
2025-09-04 06:27:36 | [04/12] step 00700/01853 loss=0.41404 | 81.8 img/s
2025-09-04 06:30:51 | [04/12] step 00800/01853 loss=0.42741 | 81.8 img/s
2025-09-04 06:34:07 | [04/12] step 00900/01853 loss=0.42160 | 81.8 img/s
2025-09-04 06:37:22 | [04/12] step 01000/01853 loss=0.40906 | 81.8 img/s
2025-09-04 06:40:38 | [04/12] step 01100/01853 loss=0.41133 | 81.8 img/s
